comment,user_id,campaign_id,timestamp,posted_date,emoji_used,hashtag_count,base_comment_score,emoji_score,engagement_score
in saepe sit,95,2,13-04-2023 08:04,April 14,no,5,1,0,6
necessitatibus ipsam et,5,3,13-04-2023 08:04,April 14,no,6,1,0,7
non reiciendis nam,14,3,13-04-2023 08:04,April 14,yes,2,1,2,5
modi magnam quia,15,3,13-04-2023 08:04,April 14,yes,1,1,2,4
architecto tempora natus,21,3,13-04-2023 08:04,April 14,no,3,1,0,4
molestiae iure ullam,24,3,13-04-2023 08:04,April 14,yes,1,1,2,4
adipisci aut dicta,27,3,13-04-2023 08:04,April 14,no,2,1,0,3
quia dolores voluptatem,35,3,13-04-2023 08:04,April 14,no,4,1,0,5
incidunt suscipit et,36,3,13-04-2023 08:04,April 14,yes,2,1,2,5
rerum vel ut,37,3,13-04-2023 08:04,April 14,yes,1,1,2,4
aperiam delectus odio,38,3,13-04-2023 08:04,April 14,no,2,1,0,3
dicta inventore ea,41,3,13-04-2023 08:04,April 14,yes,0,1,2,3
quos est quia,43,3,13-04-2023 08:04,April 14,no,5,1,0,6
minima est odio,44,3,13-04-2023 08:04,April 14,no,6,1,0,7
libero odit aut,50,3,13-04-2023 08:04,April 14,yes,2,1,2,5
quia et quod,54,3,13-04-2023 08:04,April 14,yes,1,1,2,4
nobis pariatur qui,57,3,13-04-2023 08:04,April 14,no,3,1,0,4
nostrum fugiat et,62,3,13-04-2023 08:04,April 14,yes,1,1,2,4
iusto et eius,63,3,13-04-2023 08:04,April 14,no,2,1,0,3
et placeat ipsam,66,3,13-04-2023 08:04,April 14,no,4,1,0,5
placeat repudiandae sit,67,3,13-04-2023 08:04,April 14,yes,2,1,2,5
natus sit harum,70,3,13-04-2023 08:04,April 14,yes,1,1,2,4
consectetur qui at,71,3,13-04-2023 08:04,April 14,no,2,1,0,3
reiciendis reiciendis ad,75,3,13-04-2023 08:04,April 14,yes,0,1,2,3
dolores accusantium sint,76,3,13-04-2023 08:04,April 14,no,5,1,0,6
cum adipisci alias,79,3,13-04-2023 08:04,April 14,no,6,1,0,7
facere dicta est,91,3,13-04-2023 08:04,April 14,yes,2,1,2,5
temporibus qui error,97,3,13-04-2023 08:04,April 14,yes,1,1,2,4
aut rem officia,5,4,13-04-2023 08:04,April 14,no,3,1,0,4
rerum ea harum,6,4,13-04-2023 08:04,April 14,yes,1,1,2,4
laboriosam eos a,8,4,13-04-2023 08:04,April 14,no,2,1,0,3
laboriosam aut occaecati,11,4,13-04-2023 08:04,April 14,no,4,1,0,5
alias sapiente dolore,14,4,13-04-2023 08:04,April 14,yes,2,1,2,5
aut voluptatem distinctio,15,4,13-04-2023 08:04,April 14,yes,1,1,2,4
error voluptatum eius,18,4,13-04-2023 08:04,April 14,no,2,1,0,3
magni magni aspernatur,20,4,13-04-2023 08:04,April 14,yes,0,1,2,3
laboriosam quidem numquam,21,4,13-04-2023 08:04,April 14,no,5,1,0,6
ut possimus distinctio,22,4,13-04-2023 08:04,April 14,no,6,1,0,7
molestiae veritatis aut,24,4,13-04-2023 08:04,April 14,yes,2,1,2,5
vitae iusto labore,26,4,13-04-2023 08:04,April 14,yes,1,1,2,4
id assumenda excepturi,33,4,13-04-2023 08:04,April 14,no,3,1,0,4
animi ea distinctio,36,4,13-04-2023 08:04,April 14,yes,1,1,2,4
eaque sint veritatis,41,4,13-04-2023 08:04,April 14,no,2,1,0,3
expedita exercitationem officiis,42,4,13-04-2023 08:04,April 14,no,4,1,0,5
cupiditate qui facere,47,4,13-04-2023 08:04,April 14,yes,2,1,2,5
est ut quisquam,50,4,13-04-2023 08:04,April 14,yes,1,1,2,4
provident et vel,54,4,13-04-2023 08:04,April 14,no,2,1,0,3
similique autem quia,57,4,13-04-2023 08:04,April 14,yes,0,1,2,3
dolorum exercitationem tempora,66,4,13-04-2023 08:04,April 14,no,5,1,0,6
incidunt aut perspiciatis,67,4,13-04-2023 08:04,April 14,no,6,1,0,7
occaecati assumenda voluptas,71,4,13-04-2023 08:04,April 14,yes,2,1,2,5
vel ipsam ut,75,4,13-04-2023 08:04,April 14,yes,1,1,2,4
ea autem assumenda,76,4,13-04-2023 08:04,April 14,no,3,1,0,4
quia facilis non,79,4,13-04-2023 08:04,April 14,yes,1,1,2,4
perspiciatis et sit,85,4,13-04-2023 08:04,April 14,no,2,1,0,3
voluptatem possimus ea,91,4,13-04-2023 08:04,April 14,no,4,1,0,5
molestiae perferendis quaerat,95,4,13-04-2023 08:04,April 14,yes,2,1,2,5
error consectetur dolor,97,4,13-04-2023 08:04,April 14,yes,1,1,2,4
molestiae quia pariatur,98,4,13-04-2023 08:04,April 14,no,2,1,0,3
quia omnis ab,100,4,13-04-2023 08:04,April 14,yes,0,1,2,3
doloremque sit totam,5,5,13-04-2023 08:04,April 14,no,5,1,0,6
aliquid at eum,14,5,13-04-2023 08:04,April 14,no,6,1,0,7
at est ipsam,17,5,13-04-2023 08:04,April 14,yes,2,1,2,5
optio quidem dolor,21,5,13-04-2023 08:04,April 14,yes,1,1,2,4
dolores voluptates sit,22,5,13-04-2023 08:04,April 14,no,3,1,0,4
molestiae hic est,24,5,13-04-2023 08:04,April 14,yes,1,1,2,4
possimus quia adipisci,26,5,13-04-2023 08:04,April 14,no,2,1,0,3
nostrum modi minima,28,5,13-04-2023 08:04,April 14,no,4,1,0,5
aperiam sint aut,36,5,13-04-2023 08:04,April 14,yes,2,1,2,5
iusto tempora at,41,5,13-04-2023 08:04,April 14,yes,1,1,2,4
quae et ratione,42,5,13-04-2023 08:04,April 14,no,2,1,0,3
consequatur magnam ut,44,5,13-04-2023 08:04,April 14,yes,0,1,2,3
perspiciatis dolorum ad,48,5,13-04-2023 08:04,April 14,no,5,1,0,6
ipsa excepturi neque,54,5,13-04-2023 08:04,April 14,no,6,1,0,7
explicabo nulla sed,57,5,13-04-2023 08:04,April 14,yes,2,1,2,5
nihil voluptas eligendi,60,5,13-04-2023 08:04,April 14,yes,1,1,2,4
porro doloribus corporis,66,5,13-04-2023 08:04,April 14,no,3,1,0,4
libero ut eveniet,71,5,13-04-2023 08:04,April 14,yes,1,1,2,4
enim ut et,72,5,13-04-2023 08:04,April 14,no,2,1,0,3
non cumque aliquam,75,5,13-04-2023 08:04,April 14,no,4,1,0,5
rerum amet assumenda,76,5,13-04-2023 08:04,April 14,yes,2,1,2,5
omnis nihil eligendi,79,5,13-04-2023 08:04,April 14,yes,1,1,2,4
officiis nulla beatae,84,5,13-04-2023 08:04,April 14,no,2,1,0,3
vitae qui voluptates,91,5,13-04-2023 08:04,April 14,yes,0,1,2,3
ut non ipsam,94,5,13-04-2023 08:04,April 14,no,5,1,0,6
nostrum nam et,95,5,13-04-2023 08:04,April 14,no,6,1,0,7
rerum repellendus voluptas,97,5,13-04-2023 08:04,April 14,yes,2,1,2,5
modi ut unde,5,6,13-04-2023 08:04,April 14,yes,1,1,2,4
illum rem dignissimos,6,6,13-04-2023 08:04,April 14,no,3,1,0,4
vero quis aliquam,11,6,13-04-2023 08:04,April 14,yes,1,1,2,4
ipsam numquam iure,14,6,13-04-2023 08:04,April 14,no,2,1,0,3
atque porro cum,19,6,13-04-2023 08:04,April 14,no,4,1,0,5
delectus delectus qui,21,6,13-04-2023 08:04,April 14,yes,2,1,2,5
quisquam itaque quisquam,24,6,13-04-2023 08:04,April 14,yes,1,1,2,4
voluptatem error repellendus,26,6,13-04-2023 08:04,April 14,no,2,1,0,3
provident facilis esse,36,6,13-04-2023 08:04,April 14,yes,0,1,2,3
sed quia iure,41,6,13-04-2023 08:04,April 14,no,5,1,0,6
incidunt ipsum voluptatem,46,6,13-04-2023 08:04,April 14,no,6,1,0,7
eveniet reprehenderit repellendus,47,6,13-04-2023 08:04,April 14,yes,2,1,2,5
quo veritatis error,52,6,13-04-2023 08:04,April 14,yes,1,1,2,4
vel quasi vel,54,6,13-04-2023 08:04,April 14,no,3,1,0,4
ullam ullam nam,57,6,13-04-2023 08:04,April 14,yes,1,1,2,4
rerum deserunt nisi,61,6,13-04-2023 08:04,April 14,no,2,1,0,3
voluptatem id molestiae,62,6,13-04-2023 08:04,April 14,no,4,1,0,5
consequuntur accusamus eligendi,66,6,13-04-2023 08:04,April 14,yes,2,1,2,5
velit fuga voluptates,71,6,13-04-2023 08:04,April 14,yes,1,1,2,4
consequatur provident ratione,73,6,13-04-2023 08:04,April 14,no,2,1,0,3
impedit explicabo veniam,75,6,13-04-2023 08:04,April 14,yes,0,1,2,3
magnam tempora voluptas,76,6,13-04-2023 08:04,April 14,no,5,1,0,6
aliquam ut architecto,78,6,13-04-2023 08:04,April 14,no,6,1,0,7
qui error ut,84,6,13-04-2023 08:04,April 14,yes,2,1,2,5
consectetur quia perferendis,91,6,13-04-2023 08:04,April 14,yes,1,1,2,4
autem atque nam,93,6,13-04-2023 08:04,April 14,no,3,1,0,4
nulla laboriosam deserunt,97,6,13-04-2023 08:04,April 14,yes,1,1,2,4
qui deleniti incidunt,99,6,13-04-2023 08:04,April 14,no,2,1,0,3
sed voluptas esse,100,6,13-04-2023 08:04,April 14,no,4,1,0,5
ea nam laudantium,5,7,13-04-2023 08:04,April 14,yes,2,1,2,5
veritatis aliquam occaecati,9,7,13-04-2023 08:04,April 14,yes,1,1,2,4
vel quo voluptatem,10,7,13-04-2023 08:04,April 14,no,2,1,0,3
ut ut quisquam,11,7,13-04-2023 08:04,April 14,yes,0,1,2,3
repellat quod odio,14,7,13-04-2023 08:04,April 14,no,5,1,0,6
porro magnam perspiciatis,19,7,13-04-2023 08:04,April 14,no,6,1,0,7
quo ex quis,21,7,13-04-2023 08:04,April 14,yes,2,1,2,5
sunt deleniti delectus,24,7,13-04-2023 08:04,April 14,yes,1,1,2,4
dignissimos facilis consequatur,27,7,13-04-2023 08:04,April 14,no,3,1,0,4
est repellat dolore,33,7,13-04-2023 08:04,April 14,yes,1,1,2,4
impedit quia enim,36,7,13-04-2023 08:04,April 14,no,2,1,0,3
porro pariatur omnis,40,7,13-04-2023 08:04,April 14,no,4,1,0,5
alias dolore sed,41,7,13-04-2023 08:04,April 14,yes,2,1,2,5
asperiores ipsum ipsam,42,7,13-04-2023 08:04,April 14,yes,1,1,2,4
quos ut deserunt,54,7,13-04-2023 08:04,April 14,no,2,1,0,3
assumenda dolorem similique,56,7,13-04-2023 08:04,April 14,yes,0,1,2,3
rem voluptas laboriosam,57,7,13-04-2023 08:04,April 14,no,5,1,0,6
similique quisquam similique,63,7,13-04-2023 08:04,April 14,no,6,1,0,7
dolorem tempore iusto,66,7,13-04-2023 08:04,April 14,yes,2,1,2,5
natus minima veritatis,70,7,13-04-2023 08:04,April 14,yes,1,1,2,4
repellat ut est,71,7,13-04-2023 08:04,April 14,no,3,1,0,4
excepturi consequatur qui,75,7,13-04-2023 08:04,April 14,yes,1,1,2,4
sapiente adipisci aliquam,76,7,13-04-2023 08:04,April 14,no,2,1,0,3
et quidem iusto,87,7,13-04-2023 08:04,April 14,no,4,1,0,5
recusandae quos laudantium,91,7,13-04-2023 08:04,April 14,yes,2,1,2,5
fugiat ipsa molestiae,92,7,13-04-2023 08:04,April 14,yes,1,1,2,4
doloribus porro neque,97,7,13-04-2023 08:04,April 14,no,2,1,0,3
debitis id ullam,2,8,13-04-2023 08:04,April 14,yes,0,1,2,3
ad exercitationem qui,5,8,13-04-2023 08:04,April 14,no,5,1,0,6
tenetur ab quia,8,8,13-04-2023 08:04,April 14,no,6,1,0,7
dolores dolor voluptates,14,8,13-04-2023 08:04,April 14,yes,2,1,2,5
ad soluta eveniet,17,8,13-04-2023 08:04,April 14,yes,1,1,2,4
eum dicta temporibus,19,8,13-04-2023 08:04,April 14,no,3,1,0,4
iusto quibusdam quo,21,8,13-04-2023 08:04,April 14,yes,1,1,2,4
laboriosam illum nobis,24,8,13-04-2023 08:04,April 14,no,2,1,0,3
ad consequatur id,27,8,13-04-2023 08:04,April 14,no,4,1,0,5
dolorem non explicabo,30,8,13-04-2023 08:04,April 14,yes,2,1,2,5
magni nobis voluptas,32,8,13-04-2023 08:04,April 14,yes,1,1,2,4
occaecati quia recusandae,33,8,13-04-2023 08:04,April 14,no,2,1,0,3
eaque dolore quaerat,36,8,13-04-2023 08:04,April 14,yes,0,1,2,3
eum voluptatem non,37,8,13-04-2023 08:04,April 14,no,5,1,0,6
sequi veritatis sint,39,8,13-04-2023 08:04,April 14,no,6,1,0,7
fugiat ipsam rerum,41,8,13-04-2023 08:04,April 14,yes,2,1,2,5
iure est error,43,8,13-04-2023 08:04,April 14,yes,1,1,2,4
dolores ab cum,44,8,13-04-2023 08:04,April 14,no,3,1,0,4
rem occaecati autem,46,8,13-04-2023 08:04,April 14,yes,1,1,2,4
magni ea temporibus,52,8,13-04-2023 08:04,April 14,no,2,1,0,3
voluptas neque possimus,54,8,13-04-2023 08:04,April 14,no,4,1,0,5
ut quia ipsam,56,8,13-04-2023 08:04,April 14,yes,2,1,2,5
non dolor reiciendis,57,8,13-04-2023 08:04,April 14,yes,1,1,2,4
ex nesciunt ex,63,8,13-04-2023 08:04,April 14,no,2,1,0,3
animi earum explicabo,66,8,13-04-2023 08:04,April 14,yes,0,1,2,3
est numquam repellendus,71,8,13-04-2023 08:04,April 14,no,5,1,0,6
ullam ut porro,72,8,13-04-2023 08:04,April 14,no,6,1,0,7
ea fuga occaecati,73,8,13-04-2023 08:04,April 14,yes,2,1,2,5
laboriosam ratione excepturi,75,8,13-04-2023 08:04,April 14,yes,1,1,2,4
voluptatem in ut,76,8,13-04-2023 08:04,April 14,no,3,1,0,4
sequi nobis placeat,82,8,13-04-2023 08:04,April 14,yes,1,1,2,4
voluptate labore sunt,84,8,13-04-2023 08:04,April 14,no,2,1,0,3
quos modi est,85,8,13-04-2023 08:04,April 14,no,4,1,0,5
veritatis odit sit,91,8,13-04-2023 08:04,April 14,yes,2,1,2,5
nostrum omnis maxime,93,8,13-04-2023 08:04,April 14,yes,1,1,2,4
est modi exercitationem,94,8,13-04-2023 08:04,April 14,no,2,1,0,3
ullam totam quia,96,8,13-04-2023 08:04,April 14,yes,0,1,2,3
impedit enim quis,100,8,13-04-2023 08:04,April 14,no,5,1,0,6
earum et dolorem,2,9,13-04-2023 08:04,April 14,no,6,1,0,7
et qui dolorem,3,9,13-04-2023 08:04,April 14,yes,2,1,2,5
iure eveniet laboriosam,5,9,13-04-2023 08:04,April 14,yes,1,1,2,4
vel dicta voluptate,14,9,13-04-2023 08:04,April 14,no,3,1,0,4
ut illum optio,19,9,13-04-2023 08:04,April 14,yes,1,1,2,4
rerum doloribus voluptas,21,9,13-04-2023 08:04,April 14,no,2,1,0,3
quia nobis rerum,24,9,13-04-2023 08:04,April 14,no,4,1,0,5
tempore nihil qui,26,9,13-04-2023 08:04,April 14,yes,2,1,2,5
neque ipsam nemo,36,9,13-04-2023 08:04,April 14,yes,1,1,2,4
a deserunt suscipit,40,9,13-04-2023 08:04,April 14,no,2,1,0,3
accusantium aliquid perspiciatis,41,9,13-04-2023 08:04,April 14,yes,0,1,2,3
odio aut non,50,9,13-04-2023 08:04,April 14,no,5,1,0,6
blanditiis qui reiciendis,54,9,13-04-2023 08:04,April 14,no,6,1,0,7
voluptatibus sit iure,57,9,13-04-2023 08:04,April 14,yes,2,1,2,5
minus quos eum,61,9,13-04-2023 08:04,April 14,yes,1,1,2,4
ipsam dolor amet,65,9,13-04-2023 08:04,April 14,no,3,1,0,4
ullam voluptas dolorem,66,9,13-04-2023 08:04,April 14,yes,1,1,2,4
esse esse porro,69,9,13-04-2023 08:04,April 14,no,2,1,0,3
et velit et,71,9,13-04-2023 08:04,April 14,no,4,1,0,5
voluptatem ut quasi,75,9,13-04-2023 08:04,April 14,yes,2,1,2,5
et facere soluta,76,9,13-04-2023 08:04,April 14,yes,1,1,2,4
similique facere maiores,85,9,13-04-2023 08:04,April 14,no,2,1,0,3
officia ut voluptatem,91,9,13-04-2023 08:04,April 14,yes,0,1,2,3
debitis nisi doloremque,95,9,13-04-2023 08:04,April 14,no,5,1,0,6
et non odio,98,9,13-04-2023 08:04,April 14,no,6,1,0,7
iure veniam corporis,2,10,13-04-2023 08:04,April 14,yes,2,1,2,5
explicabo qui sit,5,10,13-04-2023 08:04,April 14,yes,1,1,2,4
quis autem qui,9,10,13-04-2023 08:04,April 14,no,3,1,0,4
pariatur maxime voluptatem,12,10,13-04-2023 08:04,April 14,yes,1,1,2,4
voluptatem rerum vel,14,10,13-04-2023 08:04,April 14,no,2,1,0,3
magnam ut dolore,21,10,13-04-2023 08:04,April 14,no,4,1,0,5
soluta ipsum iusto,24,10,13-04-2023 08:04,April 14,yes,2,1,2,5
nihil eligendi quia,26,10,13-04-2023 08:04,April 14,yes,1,1,2,4
commodi aspernatur tempora,36,10,13-04-2023 08:04,April 14,no,2,1,0,3
sint et aliquid,38,10,13-04-2023 08:04,April 14,yes,0,1,2,3
dolor quisquam ut,41,10,13-04-2023 08:04,April 14,no,5,1,0,6
doloribus aut ut,46,10,13-04-2023 08:04,April 14,no,6,1,0,7
excepturi et quaerat,54,10,13-04-2023 08:04,April 14,yes,2,1,2,5
soluta voluptate iste,57,10,13-04-2023 08:04,April 14,yes,1,1,2,4
veniam nihil saepe,66,10,13-04-2023 08:04,April 14,no,3,1,0,4
et illo ratione,67,10,13-04-2023 08:04,April 14,yes,1,1,2,4
minus qui nobis,71,10,13-04-2023 08:04,April 14,no,2,1,0,3
hic repudiandae voluptates,73,10,13-04-2023 08:04,April 14,no,4,1,0,5
pariatur eaque ratione,75,10,13-04-2023 08:04,April 14,yes,2,1,2,5
qui eveniet aliquam,76,10,13-04-2023 08:04,April 14,yes,1,1,2,4
corporis explicabo temporibus,84,10,13-04-2023 08:04,April 14,no,2,1,0,3
illo tempora sunt,87,10,13-04-2023 08:04,April 14,yes,0,1,2,3
est iure sed,91,10,13-04-2023 08:04,April 14,no,5,1,0,6
iusto aliquid ut,100,10,13-04-2023 08:04,April 14,no,6,1,0,7
consectetur iste ex,3,11,13-04-2023 08:04,April 14,yes,2,1,2,5
rerum et omnis,5,11,13-04-2023 08:04,April 14,yes,1,1,2,4
doloribus cupiditate eos,14,11,13-04-2023 08:04,April 14,no,3,1,0,4
sequi corrupti beatae,20,11,13-04-2023 08:04,April 14,yes,1,1,2,4
ipsum suscipit blanditiis,21,11,13-04-2023 08:04,April 14,no,2,1,0,3
placeat est dolore,24,11,13-04-2023 08:04,April 14,no,4,1,0,5
quae perspiciatis in,27,11,13-04-2023 08:04,April 14,yes,2,1,2,5
voluptatibus aut ut,31,11,13-04-2023 08:04,April 14,yes,1,1,2,4
ut voluptatem minus,36,11,13-04-2023 08:04,April 14,no,2,1,0,3
repellat dolorum alias,38,11,13-04-2023 08:04,April 14,yes,0,1,2,3
modi suscipit voluptatum,41,11,13-04-2023 08:04,April 14,no,5,1,0,6
neque excepturi veritatis,50,11,13-04-2023 08:04,April 14,no,6,1,0,7
vel ut iste,52,11,13-04-2023 08:04,April 14,yes,2,1,2,5
voluptatum culpa vero,54,11,13-04-2023 08:04,April 14,yes,1,1,2,4
corporis eius neque,55,11,13-04-2023 08:04,April 14,no,3,1,0,4
corporis et aliquid,57,11,13-04-2023 08:04,April 14,yes,1,1,2,4
molestiae cumque culpa,66,11,13-04-2023 08:04,April 14,no,2,1,0,3
molestiae dolor exercitationem,71,11,13-04-2023 08:04,April 14,no,4,1,0,5
ut quia voluptate,73,11,13-04-2023 08:04,April 14,yes,2,1,2,5
illo dolor qui,75,11,13-04-2023 08:04,April 14,yes,1,1,2,4
eos consectetur reiciendis,76,11,13-04-2023 08:04,April 14,no,2,1,0,3
quia et inventore,78,11,13-04-2023 08:04,April 14,yes,0,1,2,3
cumque quibusdam veniam,82,11,13-04-2023 08:04,April 14,no,5,1,0,6
eum voluptas enim,84,11,13-04-2023 08:04,April 14,no,6,1,0,7
quos numquam quia,91,11,13-04-2023 08:04,April 14,yes,2,1,2,5
ut dolore maxime,92,11,13-04-2023 08:04,April 14,yes,1,1,2,4
eos et saepe,99,11,13-04-2023 08:04,April 14,no,3,1,0,4
sit quis fugiat,5,12,13-04-2023 08:04,April 14,yes,1,1,2,4
vitae cum qui,14,12,13-04-2023 08:04,April 14,no,2,1,0,3
corrupti ut repellendus,17,12,13-04-2023 08:04,April 14,no,4,1,0,5
atque minima fuga,18,12,13-04-2023 08:04,April 14,yes,2,1,2,5
aut molestias accusamus,21,12,13-04-2023 08:04,April 14,yes,1,1,2,4
saepe nihil quisquam,22,12,13-04-2023 08:04,April 14,no,2,1,0,3
sed perferendis et,24,12,13-04-2023 08:04,April 14,yes,0,1,2,3
atque perferendis eius,32,12,13-04-2023 08:04,April 14,no,5,1,0,6
reprehenderit nihil doloremque,36,12,13-04-2023 08:04,April 14,no,6,1,0,7
voluptatem distinctio placeat,37,12,13-04-2023 08:04,April 14,yes,2,1,2,5
at aut ipsam,38,12,13-04-2023 08:04,April 14,yes,1,1,2,4
eos fugit asperiores,40,12,13-04-2023 08:04,April 14,no,3,1,0,4
et consequatur ipsum,41,12,13-04-2023 08:04,April 14,yes,1,1,2,4
a animi aut,44,12,13-04-2023 08:04,April 14,no,2,1,0,3
nihil incidunt culpa,54,12,13-04-2023 08:04,April 14,no,4,1,0,5
non cum totam,57,12,13-04-2023 08:04,April 14,yes,2,1,2,5
iure minima sit,63,12,13-04-2023 08:04,April 14,yes,1,1,2,4
ut consequuntur quidem,66,12,13-04-2023 08:04,April 14,no,2,1,0,3
quae est debitis,69,12,13-04-2023 08:04,April 14,yes,0,1,2,3
quidem reprehenderit excepturi,71,12,13-04-2023 08:04,April 14,no,5,1,0,6
cum facilis incidunt,73,12,13-04-2023 08:04,April 14,no,6,1,0,7
accusamus iste fuga,75,12,13-04-2023 08:04,April 14,yes,2,1,2,5
eligendi error beatae,76,12,13-04-2023 08:04,April 14,yes,1,1,2,4
reprehenderit dicta et,78,12,13-04-2023 08:04,April 14,no,3,1,0,4
est quibusdam necessitatibus,91,12,13-04-2023 08:04,April 14,yes,1,1,2,4
vel laboriosam consectetur,98,12,13-04-2023 08:04,April 14,no,2,1,0,3
sit provident quis,99,12,13-04-2023 08:04,April 14,no,4,1,0,5
unde magnam est,2,13,13-04-2023 08:04,April 14,yes,2,1,2,5
repellendus iste eos,5,13,13-04-2023 08:04,April 14,yes,1,1,2,4
tempore debitis ad,9,13,13-04-2023 08:04,April 14,no,2,1,0,3
sint in officia,10,13,13-04-2023 08:04,April 14,yes,0,1,2,3
deserunt libero dolor,12,13,13-04-2023 08:04,April 14,no,5,1,0,6
vitae quia est,13,13,13-04-2023 08:04,April 14,no,6,1,0,7
aliquid distinctio reprehenderit,14,13,13-04-2023 08:04,April 14,yes,2,1,2,5
et sapiente ullam,16,13,13-04-2023 08:04,April 14,yes,1,1,2,4
ab delectus nam,17,13,13-04-2023 08:04,April 14,no,3,1,0,4
omnis quo dignissimos,21,13,13-04-2023 08:04,April 14,yes,1,1,2,4
perferendis possimus officiis,24,13,13-04-2023 08:04,April 14,no,2,1,0,3
facere eum harum,28,13,13-04-2023 08:04,April 14,no,4,1,0,5
officia atque ut,31,13,13-04-2023 08:04,April 14,yes,2,1,2,5
debitis a placeat,32,13,13-04-2023 08:04,April 14,yes,1,1,2,4
ut vel pariatur,35,13,13-04-2023 08:04,April 14,no,2,1,0,3
fugit neque nesciunt,36,13,13-04-2023 08:04,April 14,yes,0,1,2,3
